2025-12-01 11:50:57.968 [main] [traceId=NO_TRACE] INFO  c.U.OtherLevel.OtherLevelApplication - Starting OtherLevelApplication using Java 21.0.9 with PID 37525 (/home/sebitaslovelace/Escritorio/UH_Eventos/target/classes started by sebitaslovelace in /home/sebitaslovelace/Escritorio/UH_Eventos)
2025-12-01 11:50:57.970 [main] [traceId=NO_TRACE] INFO  c.U.OtherLevel.OtherLevelApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-01 11:50:59.328 [main] [traceId=NO_TRACE] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-12-01 11:50:59.330 [main] [traceId=NO_TRACE] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-12-01 11:50:59.331 [main] [traceId=NO_TRACE] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.48]
2025-12-01 11:50:59.385 [main] [traceId=NO_TRACE] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-01 11:50:59.648 [main] [traceId=NO_TRACE] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-12-01 11:50:59.872 [main] [traceId=NO_TRACE] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:file:./data/mi_db user=SA
2025-12-01 11:50:59.873 [main] [traceId=NO_TRACE] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-12-01 11:50:59.931 [main] [traceId=NO_TRACE] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:h2:file:./data/mi_db (H2 2.3)
2025-12-01 11:50:59.989 [main] [traceId=NO_TRACE] INFO  o.f.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.037s)
2025-12-01 11:51:00.000 [main] [traceId=NO_TRACE] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "PUBLIC": 3
2025-12-01 11:51:00.006 [main] [traceId=NO_TRACE] INFO  o.f.core.internal.command.DbMigrate - Schema "PUBLIC" is up to date. No migration necessary.
2025-12-01 11:51:01.714 [main] [traceId=NO_TRACE] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-12-01 11:51:02.159 [main] [traceId=NO_TRACE] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-12-01 11:51:02.201 [main] [traceId=NO_TRACE] INFO  c.U.OtherLevel.OtherLevelApplication - Started OtherLevelApplication in 5.124 seconds (process running for 6.373)
2025-12-01 11:51:02.207 [main] [traceId=NO_TRACE] WARN  o.s.c.events.SpringDocAppInitializer - SpringDoc /v3/api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2025-12-01 11:51:02.207 [main] [traceId=NO_TRACE] WARN  o.s.c.events.SpringDocAppInitializer - SpringDoc /swagger-ui.html endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2025-12-01 11:52:04.276 [SpringApplicationShutdownHook] [traceId=NO_TRACE] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-12-01 11:52:04.279 [SpringApplicationShutdownHook] [traceId=NO_TRACE] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-12-01 11:52:20.903 [main] [traceId=NO_TRACE] INFO  c.U.OtherLevel.OtherLevelApplication - Starting OtherLevelApplication using Java 21.0.9 with PID 38116 (/home/sebitaslovelace/Escritorio/UH_Eventos/target/classes started by sebitaslovelace in /home/sebitaslovelace/Escritorio/UH_Eventos)
2025-12-01 11:52:20.910 [main] [traceId=NO_TRACE] INFO  c.U.OtherLevel.OtherLevelApplication - No active profile set, falling back to 1 default profile: "default"
